name,path
In Situ Nano-SiO2 Electrospun Polyethylene-Oxide-Based Nano-Fiber Composite Solid Polymer Electrolyte for High-Performance Lithium-Ion Batteries,https://www.mdpi.com/2079-4991/13/7/1294/pdf?version=1680784085
Two-Dimensional Sb Modified TiO2 Nanorod Arrays as Photoanodes for Efficient Solar Water Splitting,https://www.mdpi.com/2079-4991/13/7/1293/pdf?version=1680833625
Efficient Charge Transfer in MAPbI3 QDs_TiO2 Heterojunctions for High-Performance Solar Cells,https://www.mdpi.com/2079-4991/13/7/1292/pdf?version=1680777781
Antifouling Systems Based on a Polyhedral Oligomeric Silsesquioxane-Based Hexyl Imidazolium Salt Adsorbed on Copper Nanoparticles Supported on Titania,https://www.mdpi.com/2079-4991/13/7/1291/pdf?version=1680774089
Amplifying the Output of a Triboelectric Nanogenerator Using an Intermediary Layer of Gallium-Based Liquid Metal Particles,https://www.mdpi.com/2079-4991/13/7/1290/pdf?version=1680770916
Piezoelectric Nanogenerators Fabricated Using Spin Coating of Poly(vinylidene fluoride) and ZnO Composite,https://www.mdpi.com/2079-4991/13/7/1289/pdf?version=1681090899
Impact of Proton Irradiation on Medium Density Polyethylene_Carbon Nanocomposites for Space Shielding Applications,https://www.mdpi.com/2079-4991/13/7/1288/pdf?version=1680765855
Enhanced Responsivity and Optoelectronic Properties of Self-Powered Solar-Blind Ag2O_β-Ga2O3 Heterojunction-Based Photodetector with Ag_AZO Co-Sputtered Electrode,https://www.mdpi.com/2079-4991/13/7/1287/pdf?version=1680763735
Development of Alkylthiazole-Based Novel Thermoelectric Conjugated Polymers for Facile Organic Doping,https://www.mdpi.com/2079-4991/13/7/1286/pdf?version=1680763217
Thymol-Nanoparticles as Effective Biocides against the Quarantine Pathogen Xylella fastidiosa,https://www.mdpi.com/2079-4991/13/7/1285/pdf?version=1680761052
Poly(lactic acid)_Plasticizer_Nano-Silica Ternary Systems_ Properties Evolution and Effects on Degradation Rate,https://www.mdpi.com/2079-4991/13/7/1284/pdf?version=1680743942
Efficient mRNA Delivery with Lyophilized Human Serum Albumin-Based Nanobubbles,https://www.mdpi.com/2079-4991/13/7/1283/pdf?version=1680770103
Research on the High Light Out-Coupling Efficiency Deep-Blue Top-Emitting Organic Light-Emitting Diode through FDTD Optical Simulation,https://www.mdpi.com/2079-4991/13/7/1282/pdf?version=1680688986
