name,path
Plastic Softening Induced by High-Frequency Vibrations Accompanying Uniaxial Tension in Aluminum,https://www.mdpi.com/2079-4991/12/7/1239/pdf?version=1649256910
Rashba Spin Splitting in HgCdTe Quantum Wells with Inverted and Normal Band Structures,https://www.mdpi.com/2079-4991/12/7/1238/pdf?version=1649326274
Rheological Modeling of Metallic Oxide Nanoparticles Containing Non-Newtonian Nanofluids and Potential Investigation of Heat and Mass Flow Characteris,https://www.mdpi.com/2079-4991/12/7/1237/pdf?version=1649302551
Effect of Crack Defects on Magnetostriction and Magnetic Moment Evolution of Iron Thin Films,https://www.mdpi.com/2079-4991/12/7/1236/pdf?version=1649299165
FIB-DIC Residual Stress Evaluation in Shot Peened VT6 Alloy Validated by X-ray Diffraction and Laser Speckle Interferometry,https://www.mdpi.com/2079-4991/12/7/1235/pdf?version=1649484389
Constrained DFT for Molecular Junctions,https://www.mdpi.com/2079-4991/12/7/1234/pdf?version=1649243807
Development of a Bifunctional Ti-Based Gas Diffusion Electrode for ORR and OER by One- and Two-Step Pt-Ir Electrodeposition,https://www.mdpi.com/2079-4991/12/7/1233/pdf?version=1649319687
Direct Epitaxial Growth of Polar Hf0.5Zr0.5O2 Films on Corundum,https://www.mdpi.com/2079-4991/12/7/1232/pdf?version=1649298679
"Nanomaterial Exposure, Extracellular Vesicle Biogenesis and Adverse Cellular Outcomes_ A Scoping Review",https://www.mdpi.com/2079-4991/12/7/1231/pdf?version=1649656029
Nano-Composite Filler of Heteropolyacid-Imidazole Modified Mesoporous Silica for High Temperature PEMFC at Low Humidity,https://www.mdpi.com/2079-4991/12/7/1230/pdf?version=1649234263
Preparation and Characterization of New Electrospun Poly(lactic acid) Nanofiber Antioxidative Active Packaging Films Containing MCM-41 Mesoporous Mole,https://www.mdpi.com/2079-4991/12/7/1229/pdf?version=1661431505
Electronically Controlled Time-Domain Integral Average Depolarizer Based on a Barium Titanate (BTO) Metasurface,https://www.mdpi.com/2079-4991/12/7/1228/pdf?version=1649226926
Chromium-Modified Ultrathin CoFe LDH as High-Efficiency Electrode for Hydrogen Evolution Reaction,https://www.mdpi.com/2079-4991/12/7/1227/pdf?version=1649229112
Rapid Determination of Vitamin D3 in Aquatic Products by Polypyrrole-Coated Magnetic Nanoparticles Extraction Coupled with High-Performance Liquid Chr,https://www.mdpi.com/2079-4991/12/7/1226/pdf?version=1649214089
Insight into Structural Changes and Electrochemical Properties of Spark Plasma Sintered Nanostructured Ferritic and Austenitic Stainless Steels,https://www.mdpi.com/2079-4991/12/7/1225/pdf?version=1649233027
CO2 Adsorption on the N- and P-Modified Mesoporous Silicas,https://www.mdpi.com/2079-4991/12/7/1224/pdf?version=1649328085
